table with row headers in column A,,,,,,,,,,,,,,,,,,,,,,
"Part III.  Population of Counties, Earliest Census to 1990",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ALABAMA: 1800-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,Notes,
"Note 13: Cheyenne and Arapaho Reservation: To Blaine, Canadian, Custer, Day, Dewey, Kingfisher, Roger Mills, Washita.",,,,,,,,,,,,,,,,,,,,,,
"Note 14: Kiowa, Comanche, and Apache Reservation: To Caddo, Comanche, Grady, Jefferson, Kiowa, Stephens, Tillman.",,,,,,,,,,,,,,,,,,,,,,
"Note 15: Wichita Reservation: To Caddo, Blaine, Canadian, Custer, Grady, Washita.",,,,,,,,,,,,,,,,,,,,,,
"Note 16: Cherokee Nation: To Adair, Cherokee, Craig, Delaware, McIntosh, Mayes, Muskogee, Nowata, Ottawa, Rogers, Sequoyah, Tulsa, Wagoner, Washington.",,,,,,,,,,,,,,,,,,,,,,
"Note 17: Chickasaw Nation: To Bryan, Carter, Coal, Garvin, Grady, Jefferson, Johnston, Love, McClain, Marshall, Murray, Pontotoc, Stephens.",,,,,,,,,,,,,,,,,,,,,,
"Note 18: Choctaw Nation: To Atoka, Bryan, Choctaw, Coal, Haskell, Hughes,  Johnston, Latimer, Leflore, McCurtain, Pittsburg, Pontotoc, Pushmataha.",,,,,,,,,,,,,,,,,,,,,,
"Note 19: Creek Nation: To Creek, Hughes, McIntosh, Mayes, Muskogee, Okfuskee, Okmulgee, Rogers, Seminole, Tulsa, Wagoner.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- OREGON: 1850-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,Notes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OREGON,"2,842,321","2,633,105","2,091,385","1,768,687","1,521,341","1,089,684","953,786","783,389","672,765","413,536","317,704","174,768","90,923","52,465","12,093",See note 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Baker ,"15,317","16,134","14,919","17,295","16,175","18,297","16,754","17,929","18,076","15,597","6,764","4,616","2,804",---,---,*Wasco,,,,,,
Benton ,"70,811","68,211","53,776","39,165","31,570","18,629","16,555","13,744","10,663","6,706","8,650","6,403","4,584","3,074",814,,,,,,,
Clackamas ,"278,850","241,919","166,088","113,038","86,716","57,130","46,205","37,698","29,931","19,658","15,233","9,260","5,993","3,466","1,859",,,,,,,
Clatsop ,"33,301","32,489","28,473","27,380","30,776","24,697","21,124","23,030","16,106","12,765","10,016","7,222","1,255",498,462,,,,,,,
Columbia ,"37,557","35,646","28,790","22,379","22,967","20,971","20,047","13,960","10,580","6,237","5,191","2,042",863,532,---,"*Washington, Clatsop",,,,,,
Coos ,"60,273","64,047","56,515","54,955","42,265","32,466","28,373","22,257","17,959","10,324","8,874","4,834","1,644",445,---,*Benton,,,,,,
Crook ,"14,111","13,091","9,985","9,430","8,991","5,533","3,336","3,424","9,315","3,964","3,244",---,---,---,---,"*Wasco, Grant",,,,,,
Curry ,"19,327","16,992","13,006","13,983","6,048","4,301","3,257","3,025","2,044","1,868","1,709","1,208",504,393,---,*Benton,,,,,,
Deschutes ,"74,958","62,142","30,442","23,100","21,812","18,631","14,749","9,622",---,---,---,---,---,---,---,*Crook,,,,,,
Douglas ,"94,649","93,748","71,743","68,458","54,549","25,728","21,965","21,332","19,674","14,565","11,864","9,596","6,066","3,203",---,*Benton; Linn,,,,,,
Gilliam ,"1,717","2,057","2,342","3,069","2,817","2,844","3,467","3,960","3,701","3,201","3,600",---,---,---,---,"*Wasco, Umatilla",,,,,,
Grant ,"7,853","8,210","6,996","7,726","8,329","6,380","5,940","5,496","5,607","5,948","5,080","4,303","2,251",---,---,*Wasco,,,,,,
Harney ,"7,060","8,314","7,215","6,744","6,113","5,374","5,920","3,992","4,059","2,598","2,559",---,---,---,---,*Grant,,,,,,
Hood River ,"16,903","15,835","13,187","13,395","12,740","11,580","8,938","8,315","8,016",---,---,---,---,---,---,*Wasco,,,,,,
Jackson ,"146,389","132,456","94,533","73,962","58,510","36,213","32,918","20,405","25,756","13,698","11,455","8,154","4,778","3,736",---,*Benton,,,,,,
Jefferson ,"13,676","11,599","8,548","7,130","5,536","2,042","2,291","3,211",---,---,---,---,---,---,---,*Crook,,,,,,
Josephine ,"62,649","58,855","35,746","29,917","26,542","16,301","11,498","7,655","9,567","7,517","4,878","2,485","1,204","1,623",---,*Benton,,,,,,
Klamath ,"57,702","59,117","50,021","47,475","42,150","40,497","32,407","11,413","8,554","3,970","2,444",---,---,---,---,*Lake,,,,,,
Lake ,"7,186","7,532","6,343","7,158","6,649","6,293","4,833","3,991","4,658","2,847","2,604","2,804",---,---,---,"*Jackson, Wasco; Grant",,,,,,
Lane ,"282,912","275,226","213,358","162,890","125,776","69,096","54,493","36,166","33,783","19,604","15,198","9,411","6,426","4,780",---,"*Benton, Linn",,,,,,
Lincoln ,"38,889","35,264","25,755","24,635","21,308","14,549","9,903","6,084","5,587","3,575",---,---,---,---,---,"*Benton, Tillamook",,,,,,
Linn ,"91,227","89,495","71,914","58,867","54,317","30,485","24,700","24,550","22,662","18,603","16,265","12,676","8,717","6,772",994,,,,,,,
Malheur ,"26,038","26,896","23,169","22,764","23,223","19,767","11,269","10,907","8,601","4,203","2,601",---,---,---,---,*Baker,,,,,,
Marion ,"228,483","204,692","151,309","120,888","101,401","75,246","60,541","47,187","39,780","27,713","22,934","14,576","9,965","7,088","2,749",,,,,,,
Morrow ,"7,625","7,519","4,465","4,871","4,783","4,337","4,941","5,617","4,357","4,151","4,205",---,---,---,---,"*Umatilla, Wasco",,,,,,
Multnomah ,"583,887","562,640","556,667","522,813","471,537","355,099","338,241","275,898","226,261","103,167","74,884","25,203","11,510","4,150",---,"*Clackamas, Washington",,,,,,
Polk ,"49,541","45,203","35,349","26,523","26,317","19,989","16,858","14,181","13,469","9,923","7,858","6,601","4,701","3,625","1,051",,,,,,,
Sherman ,"1,918","2,172","2,139","2,446","2,271","2,321","2,978","3,826","4,242","3,477","1,792",---,---,---,---,*Wasco,,,,,,
Tillamook ,"21,570","21,164","17,930","18,955","18,606","12,263","11,824","8,810","6,266","4,471","2,932",970,408,95,---,"*Clatsop, Yamhill, Polk",,,,,,
Umatilla ,"59,249","58,861","44,923","44,352","41,703","26,030","24,399","25,946","20,309","18,049","13,381","9,607","2,916",---,---,*Wasco,,,,,,
Union ,"23,598","23,921","19,377","18,180","17,962","17,399","17,492","16,636","16,191","16,070","12,044","6,650","2,552",---,---,*Wasco,,,,,,
Umpqua,---,---,---,---,---,---,---,---,---,---,---,---,---,"1,250",---,"*Benton; to Douglas, Coos",,,,,,
Wallowa ,"6,911","7,273","6,247","7,102","7,264","7,623","7,814","9,778","8,364","5,538","3,661",---,---,---,---,*Union,,,,,,
Wasco ,"21,683","21,732","20,133","20,205","15,552","13,069","12,646","13,648","16,336","13,199","9,183","11,120","2,509","1,689",---,"*Clackamas, Marion, Linn",,,,,,
Washington ,"311,554","245,808","157,920","92,237","61,269","39,194","30,275","26,376","21,522","14,467","11,972","7,082","4,261","2,801","2,652",,,,,,,
Wheeler ,"1,396","1,513","1,849","2,722","3,313","2,974","2,799","2,791","2,484","2,443",---,---,---,---,---,"*Grant, Gilliam, Crook",,,,,,
Yamhill ,"65,551","55,332","40,213","32,478","33,484","26,336","22,036","20,529","18,285","13,420","10,692","7,945","5,012","3,245","1,512",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OREGON NOTES  ,,,,,,,,,,,,,,,,,,,,,,
"The Oregon region was long in dispute with Great Britain, and was jointly occupied by the two countries until definitively acquired by the United States in 1846.  Oregon was established as a territory in 1848, including present-day Washington, Idaho, and parts of Montana and Wyoming.  It acquired its present boundaries and was admitted as a State on February 14, 1859.  ",,,,,,,,,,,,,,,,,,,,,,
In 1850 the census covered only areas west of the Cascade Mountains; the 1850 total excludes persons enumerated in present-day Washington. In 1860 census coverage included the whole State.  ,,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Total for 1850 excludes population (1,201) of Clark and Lewis Counties, located in present-day Washington.  Total for 1890 includes population (3,937) of certain Indian reservations not reported by county.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- PENNSYLVANIA: 1790-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,Notes
,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA,"11,881,643","11,863,895","11,793,909","11,319,366","10,498,012","9,900,180","9,631,350","8,720,017","7,665,111","6,302,115","5,258,113","4,282,891","3,521,951","2,906,215","2,311,786","1,724,033","1,348,233","1,049,458","810,091","602,365","434,373",
,,,,,,,,,,,,,,,,,,,,,,
Adams ,"78,274","68,292","56,937","51,906","44,197","39,435","37,128","34,583","34,319","34,496","33,486","32,455","30,315","28,006","25,981","23,044","21,379","19,370","15,152","13,172",--- ,*York
Allegheny ,"1,336,449","1,450,085","1,605,016","1,628,587","1,515,237","1,411,539","1,374,410","1,185,808","1,018,463","775,058","551,959","355,869","262,204","178,831","138,290","81,235","50,552","34,921","25,317","15,087","10,309",
Armstrong ,"73,478","77,768","75,590","79,524","80,842","81,087","79,298","75,568","67,880","52,551","46,747","47,641","43,382","35,797","29,560","28,365","17,701","10,324","6,143","2,399",--- ,See note 1
Beaver ,"186,093","204,441","208,418","206,948","175,192","156,754","149,062","111,621","78,353","56,432","50,077","39,605","36,148","29,140","26,689","29,368","24,183","15,340","12,168","5,776",--- ,See note 2
Bedford ,"47,919","46,784","42,353","42,451","40,775","40,809","37,309","38,277","38,879","39,468","38,644","34,929","29,635","26,736","23,052","29,335","24,502","20,248","15,746","12,039","13,124",
Berks ,"336,523","312,509","296,382","275,414","255,740","241,884","231,717","200,854","183,222","159,615","137,327","122,597","106,701","93,818","77,129","64,569","53,152","46,275","43,146","32,407","30,179",
Blair ,"130,542","136,621","135,356","137,270","139,514","140,358","139,840","128,334","108,858","85,099","70,866","52,740","38,051","27,829","21,777",--- ,--- ,--- ,--- ,--- ,--- ,See note 3
Bradford ,"60,967","62,919","57,962","54,925","51,722","50,615","49,039","53,166","54,526","59,403","59,233","58,541","53,204","48,734","42,831","32,769","19,746","11,554",--- ,--- ,--- ,See note 4
Bucks ,"541,174","479,211","415,056","308,567","144,620","107,715","96,727","82,476","76,530","71,190","70,615","68,656","64,336","63,578","56,091","48,107","45,745","37,842","32,371","27,496","25,401",
Butler ,"152,013","147,912","127,941","114,639","97,320","87,590","80,480","77,270","72,689","56,962","55,339","52,536","36,510","35,594","30,346","22,378","14,581","10,193","7,346","3,916",--- ,*Allegheny
Cambria ,"163,029","183,263","186,785","203,283","209,541","213,459","203,146","197,839","166,131","104,837","66,375","46,811","36,569","29,155","17,773","11,256","7,076","3,287","2,117",--- ,--- ,See note 5
Cameron ,"5,913","6,674","7,096","7,586","7,023","6,852","5,307","6,297","7,644","7,048","7,238","5,159","4,273",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 6
Carbon ,"56,846","53,285","50,573","52,889","57,558","61,735","63,380","62,565","52,846","44,510","38,624","31,923","28,144","21,033","15,686",--- ,--- ,--- ,--- ,--- ,--- ,See note 7
Centre ,"123,786","112,760","99,267","78,580","65,922","52,608","46,294","44,304","43,424","42,894","43,269","37,922","34,418","27,000","23,355","20,492","18,879","13,796","10,681",--- ,--- ,See note 8
Chester ,"376,396","316,660","278,311","210,608","159,141","135,626","126,629","115,120","109,213","95,695","89,377","83,481","77,805","74,578","66,438","57,515","50,910","44,451","39,596","32,093","27,937",
Clarion ,"41,699","43,362","38,414","37,408","38,344","38,410","34,531","36,170","36,638","34,283","36,802","40,328","26,537","24,988","23,565",--- ,--- ,--- ,--- ,--- ,--- ,See note 9
Clearfield ,"78,097","83,578","74,619","81,534","85,957","92,094","86,727","103,236","93,768","80,614","69,565","43,408","25,741","18,759","12,586","7,834","4,803","2,342",875,--- ,--- ,See note 10
Clinton ,"37,182","38,971","37,721","37,619","36,532","34,557","32,319","33,555","31,545","29,197","28,685","26,278","23,211","17,723","11,207","8,323",--- ,--- ,--- ,--- ,--- ,See note 11
Columbia ,"63,202","61,967","55,114","53,489","53,460","51,413","48,803","48,349","48,467","39,896","36,832","32,409","28,766","25,065","17,710","24,267","20,059","17,621",--- ,--- ,--- ,See note 12
Crawford ,"86,169","88,869","81,342","77,956","78,948","71,644","62,980","60,667","61,565","63,643","65,324","68,607","63,832","48,755","37,849","31,724","16,030","9,397","6,178","2,346",--- ,*Allegheny
Cumberland ,"195,257","178,541","158,177","124,816","94,457","74,806","68,236","58,578","54,479","50,344","47,271","45,977","43,912","40,098","34,327","30,953","29,226","23,606","26,757","25,386","18,243",
Dauphin ,"237,813","232,317","223,834","220,255","197,784","177,410","165,231","153,116","136,152","114,443","96,977","76,148","60,740","46,756","35,754","30,118","25,243","21,653","31,883","22,270","18,177",
Delaware ,"547,651","555,007","600,035","553,154","414,234","310,756","280,264","173,084","117,906","94,762","74,683","56,101","39,403","30,597","24,679","19,791","17,323","14,810","14,734","12,809","9,483",
Elk ,"34,878","38,338","37,770","37,328","34,503","34,443","33,431","34,981","35,871","32,903","22,239","12,800","8,488","5,915","3,531",--- ,--- ,--- ,--- ,--- ,--- ,See note 13
Erie ,"275,572","279,780","263,654","250,682","219,388","180,889","175,277","153,536","115,517","98,473","86,074","74,688","65,973","49,432","38,742","31,344","17,041","8,553","3,758","1,468",--- ,*Allegheny
Fayette ,"145,351","159,417","154,667","169,340","189,899","200,999","198,542","188,104","167,449","110,412","80,006","58,842","43,284","39,909","39,112","33,574","29,172","27,285","24,714","20,159","13,325",
Forest ,"4,802","5,072","4,926","4,485","4,944","5,791","5,180","7,477","9,435","11,039","8,482","4,385","4,010",898,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 14
Franklin ,"121,082","113,629","100,833","88,172","75,927","69,378","65,010","62,275","59,775","54,902","51,433","49,855","45,365","42,126","39,904","37,793","35,037","31,892","23,083","19,638","15,655",
Fulton ,"13,837","12,842","10,776","10,597","10,387","10,673","9,231","9,617","9,703","9,924","10,137","10,149","9,360","9,131","7,567",--- ,--- ,--- ,--- ,--- ,--- ,*Bedford
Greene ,"39,550","40,476","36,090","39,424","45,394","44,671","41,767","30,804","28,882","28,281","28,935","28,273","25,887","24,343","22,136","19,147","18,028","15,554","12,544","8,605",--- ,*Washington
Huntingdon ,"44,164","42,253","39,108","39,457","40,872","41,836","39,021","39,848","38,304","34,650","35,751","33,954","31,251","28,100","24,786","35,484","27,145","20,142","14,778","13,008","7,565",
Indiana ,"89,994","92,281","79,451","75,366","77,106","79,854","75,395","80,910","66,210","42,556","42,175","40,527","36,138","33,687","27,170","20,782","14,252","8,882","6,214",--- ,--- ,See note 15
Jefferson ,"46,083","48,303","43,695","46,792","49,147","54,090","52,114","62,104","63,090","59,113","44,005","27,935","21,656","18,270","13,518","7,253","2,025",561,161,--- ,--- ,See note 16
Juniata ,"20,625","19,188","16,712","15,874","15,243","15,373","14,325","14,464","15,013","16,054","16,655","18,227","17,390","16,986","13,029","11,080",--- ,--- ,--- ,--- ,--- ,*Mifflin
Lackawanna ,"219,039","227,908","234,107","234,531","257,396","301,243","310,397","286,311","259,570","193,831","142,088","89,269",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,*Luzerne
Lancaster ,"422,822","362,346","319,693","278,359","234,717","212,504","196,882","173,797","167,029","159,241","149,095","139,447","121,340","116,314","98,944","84,203","76,631","68,336","53,927","43,403","36,147",
Lawrence ,"96,246","107,150","107,374","112,965","105,120","96,877","97,258","85,545","70,032","57,042","37,517","33,312","27,298","22,999","21,079",--- ,--- ,--- ,--- ,--- ,--- ,See note 17
Lebanon ,"113,744","108,582","99,665","90,853","81,683","72,641","67,103","63,152","59,565","53,827","48,131","38,476","34,096","31,831","26,071","21,872","20,557","16,988",--- ,--- ,--- ,See note 18
Lehigh ,"291,130","272,349","255,304","227,536","198,207","177,533","172,893","148,101","118,832","93,893","76,631","65,969","56,796","43,753","32,479","25,787","22,256","18,895",--- ,--- ,--- ,*Northampton
Luzerne ,"328,149","343,079","342,301","346,972","392,241","441,518","445,109","390,991","343,186","257,121","201,203","133,065","160,915","90,244","56,072","44,006","27,379","20,027","18,109","12,839","4,904",
Lycoming ,"118,710","118,416","113,296","109,367","101,249","93,633","93,421","83,100","80,813","75,663","70,579","57,486","47,626","37,399","26,257","22,649","17,636","13,517","11,006","5,414",--- ,See note 19
McKean ,"47,131","50,635","51,915","54,517","56,607","56,673","55,167","48,934","47,868","51,343","46,863","42,565","8,825","8,859","5,254","2,975","1,439",728,142,--- ,--- ,*Lycoming
Mercer ,"121,003","128,299","127,175","127,519","111,954","101,039","99,246","93,788","77,699","57,387","55,744","56,161","49,977","36,856","33,172","32,873","19,729","11,681","8,277","3,228",--- ,*Allegheny
Mifflin ,"46,197","46,908","45,268","44,348","43,691","42,993","40,335","31,439","27,785","23,160","19,996","19,577","17,508","16,340","14,980","13,092","21,690","16,618","12,132","13,609","7,562",See note 8
Monroe ,"95,709","69,409","45,422","39,567","33,773","29,802","28,286","24,295","22,941","21,161","20,111","20,175","18,362","16,758","13,270","9,879",--- ,--- ,--- ,--- ,--- ,See note 20
Montgomery ,"678,111","643,621","623,799","516,682","353,068","289,247","265,804","199,310","169,590","138,995","123,290","96,494","81,612","70,500","58,291","47,241","39,406","35,793","29,703","24,150","22,929",
Montour ,"17,735","16,675","16,508","16,730","16,001","15,466","14,517","14,080","14,868","15,526","15,645","15,468","15,344","13,053","13,239",--- ,--- ,--- ,--- ,--- ,--- ,*Columbia
Northampton ,"247,105","225,418","214,368","201,412","185,243","168,959","169,304","153,506","127,667","99,687","84,220","70,312","61,432","47,904","40,235","40,996","39,482","31,765","38,145","30,062","24,250",
Northumberland ,"96,771","100,381","99,190","104,138","117,115","126,887","128,504","122,079","111,420","90,911","74,698","53,123","41,444","28,922","23,272","20,027","18,133","15,424","36,327","27,797","17,161",
Perry ,"41,172","35,718","28,615","26,582","24,782","23,213","21,744","22,875","24,136","26,263","26,276","27,522","25,447","22,793","20,088","17,096","14,261","11,342",--- ,--- ,--- ,*Cumberland
Philadelphia ,"1,585,577","1,688,210","1,948,609","2,002,512","2,071,605","1,931,334","1,950,961","1,823,779","1,549,008","1,293,697","1,046,964","847,170","674,022","565,529","408,762","258,037","188,797","137,097","111,210","81,009","54,391",
Pike ,"27,966","18,271","11,818","9,158","8,425","7,452","7,483","6,818","8,033","8,766","9,412","9,663","8,436","7,155","5,881","3,832","4,843","2,894",--- ,--- ,--- ,*Wayne
Potter ,"16,717","17,726","16,395","16,483","16,810","18,201","17,489","21,089","29,729","30,621","22,778","13,797","11,265","11,470","6,048","3,371","1,265",186,29,--- ,--- ,*Lycoming
Schuylkill ,"152,585","160,630","160,089","173,027","200,577","228,331","235,505","217,754","207,894","172,927","154,163","129,974","116,428","89,510","60,713","29,053","20,744","11,339",--- ,--- ,--- ,See note 21
Snyder ,"36,680","33,584","29,269","25,922","22,912","20,208","18,836","17,129","16,800","17,304","17,651","17,797","15,606","15,035",--- ,--- ,--- ,--- ,--- ,--- ,--- ,*Union
Somerset ,"78,218","81,243","76,037","77,450","81,813","84,957","80,764","82,112","67,717","49,461","37,317","33,110","28,226","26,778","24,416","19,650","17,762","13,974","11,284","10,188",--- ,*Bedford
Sullivan ,"6,104","6,349","5,961","6,251","6,745","7,504","7,499","9,520","11,293","12,134","11,620","8,073","6,191","5,637","3,694",--- ,--- ,--- ,--- ,--- ,--- ,*Lycoming
Susquehanna ,"40,380","37,876","34,344","33,137","31,970","33,893","33,806","34,763","37,746","40,043","40,093","40,354","37,523","36,267","28,688","21,195","16,787","9,960",--- ,--- ,--- ,*Luzerne
Tioga ,"41,126","40,973","39,691","36,614","35,474","35,004","31,871","37,118","42,829","49,086","52,313","45,814","35,097","31,044","23,987","15,498","8,978","4,021","1,687",--- ,--- ,*Lycoming
Union ,"36,176","32,870","28,603","25,646","23,150","20,247","17,468","15,850","16,249","17,592","17,820","16,905","15,565","14,145","26,083","22,787","20,795","18,619",--- ,--- ,--- ,See note 22
Venango ,"59,381","64,444","62,353","65,295","65,328","63,958","63,226","59,184","56,359","49,648","46,640","43,670","47,925","25,043","18,310","17,900","9,470","4,915","3,060","1,130",--- ,See note 23
Warren ,"45,050","47,449","47,682","45,582","42,698","42,789","41,453","40,024","39,573","38,946","37,684","27,981","23,897","19,190","13,671","9,278","4,697","1,976",827,233,--- ,See note 24
Washington ,"204,584","217,074","210,876","217,271","209,628","210,852","204,802","188,992","143,680","92,181","71,155","55,418","48,483","46,805","44,939","41,279","42,784","40,038","36,289","28,298","23,866",
Wayne ,"39,944","35,237","29,581","28,237","28,478","29,934","28,420","27,435","29,236","30,171","31,010","33,513","33,188","32,239","21,890","11,848","7,663","4,127","4,125","2,562",--- ,*Northampton
Westmoreland ,"370,321","392,294","376,935","352,629","313,179","303,411","294,995","273,568","231,304","160,175","112,819","78,036","58,719","53,736","51,726","42,699","38,400","30,540","26,392","22,726","16,018",
Wyoming ,"28,076","26,433","19,082","16,813","16,766","16,702","15,517","14,101","15,509","17,152","15,891","15,598","14,585","12,540","10,655",--- ,--- ,--- ,--- ,--- ,--- ,*Luzerne
York ,"339,574","312,963","272,603","238,336","202,737","178,022","167,135","144,521","136,405","116,413","99,489","87,841","76,134","68,200","57,450","47,010","42,859","38,759","31,958","25,643","37,747",
,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA NOTES  ,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania was one of the 13 original States.  In 1792 the acquisition of the Erie Triangle at its northwest corner brought it to essentially its present boundaries.  ,,,,,,,,,,,,,,,,,,,,,,
In 1790 census coverage included all parts of the present State except for the Erie Triangle.  ,,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Armstrong: *Northumberland, Westmoreland, Allegheny.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 2: Beaver: *Allegheny, Washington.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 3: Blair: *Huntingdon, Bedford.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 4: Bradford: *Luzerne, Lycoming.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 5: Cambria: *Somerset, Huntingdon.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 6: Cameron: *McKean, Clinton, Elk, Potter.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 7: Carbon: *Northampton, Monroe.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 8: Centre: *Mifflin, Northumberland, Huntingdon; in 1800 Centre was reported with Mifflin.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 9: Clarion: *Armstrong, Venango.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 10: Clearfield: *Lycoming, Huntingdon.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 11: Clinton: *Lycoming, Centre.  ",,,,,,,,,,,,,,,,,,,,,,
Note 12: Columbia: *Northumberland.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 13: Elk: *Clearfield, Jefferson, McKean.  ",,,,,,,,,,,,,,,,,,,,,,
Note 14: Forest: *Jefferson; in 1850 Forest was reported with Jefferson.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 15: Indiana: *Westmoreland, Lycoming.  ",,,,,,,,,,,,,,,,,,,,,,
Note 16: Jefferson: *Lycoming; in 1850 Forest was reported with Jefferson.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 17: Lawrence: *Mercer, Beaver.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 18: Lebanon: *Dauphin, Lancaster.  ",,,,,,,,,,,,,,,,,,,,,,
Note 19: Northumberland: *Lycoming.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 20: Monroe: *Northampton, Pike.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 21: Schuylkill: *Berks, Northampton, Northumberland, Luzerne.  ",,,,,,,,,,,,,,,,,,,,,,
Note 22: Union: *Northumberland.  ,,,,,,,,,,,,,,,,,,,,,,
"Note 23: Venango: *Northumberland, Allegheny.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 24: Warren: *Allegheny, Northumberland; total for 1890 includes population (99) of Cornplanter Indian Reservation, reported separately.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- RHODE ISLAND: 1790-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,Notes
,,,,,,,,,,,,,,,,,,,,,,
RHODE ISLAND,"1,003,464","947,154","946,725","859,488","791,896","713,346","687,497","604,397","542,610","428,556","345,506","276,531","217,353","174,620","147,545","108,830","97,199","83,059","76,931","69,122","68,825",
,,,,,,,,,,,,,,,,,,,,,,
Bristol,"48,859","46,942","45,937","37,146","29,079","25,548","25,089","23,113","17,602","13,144","11,428","11,394","9,421","8,907","8,514","6,476","5,446","5,637","5,072","3,801","3,211",
Kent ,"161,135","154,163","142,382","112,619","77,763","58,311","51,390","38,269","36,378","29,976","26,754","20,588","18,595","17,303","15,068","13,083","12,789","10,228","9,834","8,487","8,848",
Newport,"87,194","81,383","94,559","81,891","61,539","46,696","41,668","42,893","39,335","32,599","28,552","24,180","20,050","21,896","20,007","16,874","16,535","15,771","16,294","14,845","14,300",See note 1
Providence,"596,270","571,349","580,261","568,778","574,973","550,298","540,016","475,190","424,353","328,683","255,123","197,874","149,190","107,799","87,526","58,073","47,018","35,736","30,769","25,854","24,391",
Washington,"110,006","93,317","83,586","59,054","48,542","32,493","29,334","24,932","24,942","24,154","23,649","22,495","20,097","18,715","16,430","14,324","15,411","15,687","14,962","16,135","18,075",See note 1
,,,,,,,,,,,,,,,,,,,,,,
RHODE ISLAND NOTES  ,,,,,,,,,,,,,,,,,,,,,,
"Rhode Island was one of the 13 original States and has had nearly its present boundaries since Colonial times.  However, a long-standing boundary dispute with Massachusetts involved a sizable exchange of territory when finally settled by the U.S. Supreme Court in 1862.  ",,,,,,,,,,,,,,,,,,,,,,
Census coverage included all of Rhode Island from 1790 on.  ,,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Newport, Washington: New Shoreham town (Block Island; 1960 pop. 486) was transferred from Newport County to Washington County in 1963.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- SOUTH CAROLINA: 1790-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,Notes
,,,,,,,,,,,,,,,,,,,,,,
